 ip.proto, ip.itl, ip.ttl, ip.len, ip.id/udp/tcp.sport, udp.len/tcp.window, label,type
17,5,255,140,46446,5353,120,1
2,6,1,32,52060,0,0,1
17,5,255,140,29082,5353,120,1
17,5,255,140,30373,5353,120,1
17,5,255,181,2217,5353,161,1
2,6,1,32,678,0,0,1
17,5,255,181,47414,5353,161,1
17,5,255,181,41735,5353,161,1
17,5,255,140,51151,5353,120,1
17,5,255,237,64063,5353,217,1
17,5,255,399,8024,5353,379,1
17,5,255,399,10206,5353,379,1
17,5,255,237,8720,5353,217,1
17,5,255,159,56739,5353,139,1
17,5,255,399,51773,5353,379,1
17,5,1,167,14154,57178,147,1
17,5,255,159,63504,5353,139,1
2,6,1,32,4180,0,0,1
17,5,255,159,53654,5353,139,1
17,5,255,130,33265,5353,110,1
17,5,1,167,13851,60911,147,1
17,5,1,167,19155,57178,147,1
17,5,255,333,6901,5353,313,1
2,6,1,32,63569,0,0,1
17,5,255,140,24470,5353,120,2
2,6,1,32,29526,0,0,2
17,5,255,140,44271,5353,120,2
17,5,255,140,11305,5353,120,2
17,5,255,140,1455,5353,120,2
2,6,1,32,23635,0,0,2
17,5,255,140,50531,5353,120,2
17,5,255,140,28859,5353,120,2
17,5,2,202,19047,1187,182,2
17,5,2,202,61579,3844,182,2
17,5,2,202,6331,1187,182,2
17,5,2,202,58117,3844,182,2
17,5,2,202,37087,1187,182,2
17,5,2,202,9727,3844,182,2
17,5,2,202,9497,3844,182,2
17,5,2,202,24486,3844,182,2
17,5,255,140,12855,5353,120,2
17,5,2,202,15466,3844,182,2
17,5,2,202,45522,3844,182,2
17,5,2,202,20506,3844,182,2
17,5,2,202,13332,3844,182,2
17,5,2,202,47387,3844,182,2
17,5,2,202,29007,3844,182,2
17,5,1,167,61043,30367,147,2
17,5,2,202,64299,3844,182,2
17,5,2,202,23426,3844,182,2
17,5,2,202,59630,3844,182,2
17,5,2,202,60046,3844,182,2
17,5,2,202,39776,3844,182,2
17,5,2,202,13654,3844,182,2
17,5,255,140,46988,5353,120,2
17,5,2,202,53325,3844,182,2
17,5,2,202,48158,3844,182,2
17,5,2,202,6640,3844,182,2
17,5,2,202,57387,3844,182,2
17,5,2,202,38933,3844,182,2
17,5,2,202,22224,3844,182,2
17,5,2,202,59162,3844,182,2
17,5,2,202,19815,3844,182,2
17,5,2,202,40927,3844,182,2
17,5,2,202,61982,3844,182,2
17,5,2,202,49445,3844,182,2
17,5,2,202,26995,3844,182,2
17,5,2,202,59360,3844,182,2
17,5,2,202,35487,3844,182,2
17,5,2,202,8955,3844,182,2
17,5,2,202,60482,3844,182,2
17,5,2,202,14201,3844,182,2
17,5,2,202,63879,3844,182,2
17,5,2,202,48879,3844,182,2
17,5,2,202,53975,3844,182,2
17,5,2,202,62424,3844,182,2
17,5,2,202,48456,3844,182,2
17,5,2,202,14426,3844,182,2
17,5,2,202,5124,3844,182,2
2,6,1,32,13939,0,0,2
17,5,2,202,63031,3844,182,2
17,5,2,202,64930,3844,182,2
17,5,2,202,61705,3844,182,2
17,5,2,202,45485,3844,182,2
17,5,2,202,52970,3844,182,2
17,5,2,202,52291,3844,182,2
17,5,2,202,63420,3844,182,2
